Dates,SMA Values
2025-06-06,563.4981
2025-06-05,563.4069
2025-06-04,563.3985
2025-06-03,563.3912
2025-06-02,563.4205
2025-05-30,563.6468
2025-05-29,563.9569
2025-05-28,564.2370
2025-05-27,564.5247
2025-05-23,564.7640
2025-05-22,565.0846
2025-05-21,565.3761
2025-05-20,565.6644
2025-05-19,565.7518
2025-05-16,565.8897
2025-05-15,566.0070
2025-05-14,566.1429
2025-05-13,566.2627
2025-05-12,566.4510
2025-05-09,566.7401
2025-05-08,567.2496
2025-05-07,567.7874
2025-05-06,568.3077
2025-05-05,568.9841
2025-05-02,569.6186
2025-05-01,570.1595
2025-04-30,570.7705
2025-04-29,571.3598
2025-04-28,571.8676
2025-04-25,572.4412
2025-04-24,572.8670
2025-04-23,573.3378
2025-04-22,573.9568
2025-04-21,574.8207
2025-04-17,575.8634
2025-04-16,576.8229
2025-04-15,577.7445
2025-04-14,578.3914
2025-04-11,579.0371
2025-04-10,579.7874
2025-04-09,580.7680
2025-04-08,581.4954
2025-04-07,582.9671
2025-04-04,584.2318
2025-04-03,585.4332
2025-04-02,586.0861
2025-04-01,586.3442
2025-03-31,586.9087
2025-03-28,587.5312
2025-03-27,588.1704
2025-03-26,588.6481
2025-03-25,589.1487
2025-03-24,589.4850
2025-03-21,589.8677
2025-03-20,590.4392
2025-03-19,590.9969
2025-03-18,591.5455
2025-03-17,592.1279
2025-03-14,592.6190
2025-03-13,593.1565
2025-03-12,593.8035
2025-03-11,594.3702
2025-03-10,594.9347
2025-03-07,595.4041
2025-03-06,595.6289
2025-03-05,595.8544
2025-03-04,595.9296
2025-03-03,596.0627
2025-02-28,596.0632
2025-02-27,596.0234
2025-02-26,596.1681
2025-02-25,596.1736
2025-02-24,596.2097
2025-02-21,596.1954
2025-02-20,596.1056
2025-02-19,595.8023
2025-02-18,595.2590
2025-02-14,594.6385
2025-02-13,594.0609
2025-02-12,593.4488
2025-02-11,593.0889
2025-02-10,592.7261
2025-02-07,592.3566
2025-02-06,592.0198
2025-02-05,591.6067
2025-02-04,591.2059
2025-02-03,590.9154
2025-01-31,590.6865
2025-01-30,590.4135
2025-01-29,590.0628
2025-01-28,589.7575
2025-01-27,589.3777
2025-01-24,589.1358
2025-01-23,588.7041
2025-01-22,588.1980
2025-01-21,587.7535
2025-01-17,587.3008
2025-01-16,586.8499
2025-01-15,586.5571
2025-01-14,586.1748
2025-01-13,585.9581
2025-01-10,585.7493
2025-01-08,585.6264
2025-01-07,585.3428
2025-01-06,585.0832
2025-01-03,584.6956
2025-01-02,584.3746
2024-12-31,584.1345
2024-12-30,583.8537
2024-12-27,583.5564
2024-12-26,583.0268
2024-12-24,582.4306
2024-12-23,581.8318
2024-12-20,581.3154
2024-12-19,580.8081
2024-12-18,580.3343
2024-12-17,579.7782
2024-12-16,578.9328
2024-12-13,577.9663
2024-12-12,577.1673
2024-12-11,576.3856
2024-12-10,575.5754
2024-12-09,574.9956
2024-12-06,574.3136
2024-12-05,573.5865
2024-12-04,572.9219
2024-12-03,572.2322
2024-12-02,571.6146
2024-11-29,570.9174
2024-11-27,570.2978
2024-11-26,569.7039
2024-11-25,569.0970
2024-11-22,568.4593
2024-11-21,567.8328
2024-11-20,567.1005
2024-11-19,566.3890
2024-11-18,565.5563
2024-11-15,564.7501
2024-11-14,563.9448
2024-11-13,562.8620
2024-11-12,561.7741
2024-11-11,560.6227
2024-11-08,559.6646
2024-11-07,558.8577
2024-11-06,558.1978
2024-11-05,557.4781
2024-11-04,557.0010
2024-11-01,556.6172
2024-10-31,556.1306
2024-10-30,555.7179
2024-10-29,555.3215
2024-10-28,554.9124
2024-10-25,554.4365
2024-10-24,554.0380
2024-10-23,553.6973
2024-10-22,553.4863
2024-10-21,553.1526
2024-10-18,552.7926
2024-10-17,552.3694
2024-10-16,552.0465
2024-10-15,551.6464
2024-10-14,551.2745
2024-10-11,550.8290
2024-10-10,550.4059
2024-10-09,549.9970
2024-10-08,549.5219
2024-10-07,549.0873
2024-10-04,548.7593
2024-10-03,548.3456
2024-10-02,547.9956
2024-10-01,547.6012
2024-09-30,547.2353
2024-09-27,546.8067
2024-09-26,546.4316
2024-09-25,546.0252
2024-09-24,545.5899
2024-09-23,545.1320
2024-09-20,544.6819
2024-09-19,544.1898
2024-09-18,543.6655
2024-09-17,543.2536
2024-09-16,542.8271
2024-09-13,542.4041
2024-09-12,541.9042
2024-09-11,541.4374
2024-09-10,541.0305
2024-09-09,540.6362
2024-09-06,540.3248
2024-09-05,540.1513
2024-09-04,539.8418
2024-09-03,539.4641
2024-08-30,539.1251
2024-08-29,538.6435
2024-08-28,538.2190
2024-08-27,537.7865
2024-08-26,537.2973
2024-08-23,536.8343
2024-08-22,536.2609
2024-08-21,535.7374
2024-08-20,535.1507
2024-08-19,534.5817
2024-08-16,533.9578
2024-08-15,533.4082
2024-08-14,532.8681
2024-08-13,532.3854
2024-08-12,531.8386
2024-08-09,531.3500
2024-08-08,530.8882
2024-08-07,530.5736
2024-08-06,530.4032
2024-08-05,530.1162
2024-08-02,529.9238
2024-08-01,529.5151
2024-07-31,528.8797
2024-07-30,528.0695
2024-07-29,527.4456
2024-07-26,526.7971
2024-07-25,526.1952
2024-07-24,525.6916
2024-07-23,525.2384
2024-07-22,524.7084
2024-07-19,524.1114
2024-07-18,523.6678
2024-07-17,523.1638
2024-07-16,522.5952
2024-07-15,521.8389
2024-07-12,521.2191
2024-07-11,520.6131
2024-07-10,520.1036
2024-07-09,519.5385
2024-07-08,519.0525
2024-07-05,518.5128
2024-07-03,517.9956
2024-07-02,517.5437
2024-07-01,517.1405
2024-06-28,516.7650
2024-06-27,516.3380
2024-06-26,515.8404
2024-06-25,515.3122
2024-06-24,514.8432
2024-06-21,514.4181
2024-06-20,513.9794
2024-06-18,513.4530
2024-06-17,512.9118
2024-06-14,512.4337
2024-06-13,511.9453
2024-06-12,511.4254
2024-06-11,510.9930
2024-06-10,510.6304
2024-06-07,510.2190
2024-06-06,509.8053
2024-06-05,509.3918
2024-06-04,508.9650
2024-06-03,508.6529
2024-05-31,508.3442
2024-05-30,507.8969
2024-05-29,507.5104
2024-05-28,507.1133
2024-05-24,506.6990
2024-05-23,506.2416
2024-05-22,505.7702
2024-05-21,505.3412
2024-05-20,504.8936
2024-05-17,504.4240
2024-05-16,503.9598
2024-05-15,503.4484
2024-05-14,502.9016
2024-05-13,502.4715
2024-05-10,502.0026
2024-05-09,501.4459
2024-05-08,501.0112
2024-05-07,500.6240
2024-05-06,500.1831
2024-05-03,499.7591
2024-05-02,499.3724
2024-05-01,499.0665
2024-04-30,498.8068
2024-04-29,498.5098
2024-04-26,498.0153
2024-04-25,497.4871
2024-04-24,497.0633
2024-04-23,496.6371
2024-04-22,496.2028
2024-04-19,495.8551
2024-04-18,495.5341
2024-04-17,495.1617
2024-04-16,494.6808
2024-04-15,494.1488
2024-04-12,493.6252
2024-04-11,493.0655
2024-04-10,492.4424
2024-04-09,491.8934
2024-04-08,491.2685
2024-04-05,490.6400
2024-04-04,489.9875
2024-04-03,489.3972
2024-04-02,488.6551
2024-04-01,488.0135
2024-03-28,487.2847
2024-03-27,486.5060
2024-03-26,485.7367
2024-03-25,485.0077
2024-03-22,484.1756
2024-03-21,483.2936
2024-03-20,482.3725
2024-03-19,481.4482
2024-03-18,480.5425
2024-03-15,479.7028
2024-03-14,478.9071
2024-03-13,478.0956
2024-03-12,477.2319
2024-03-11,476.3318
2024-03-08,475.5135
2024-03-07,474.6827
2024-03-06,473.8199
2024-03-05,473.0244
2024-03-04,472.2405
2024-03-01,471.3984
2024-02-29,470.5001
2024-02-28,469.6609
2024-02-27,468.8397
2024-02-26,467.9957
2024-02-23,467.0454
2024-02-22,466.0747
2024-02-21,465.0142
2024-02-20,464.1461
2024-02-16,463.2799
2024-02-15,462.3576
2024-02-14,461.3862
2024-02-13,460.4081
2024-02-12,459.3797
2024-02-09,458.1918
2024-02-08,456.9643
2024-02-07,455.7085
2024-02-06,454.4820
2024-02-05,453.3834
2024-02-02,452.3901
2024-02-01,451.3271
2024-01-31,450.3467
2024-01-30,449.5286
2024-01-29,448.6509
2024-01-26,447.8491
2024-01-25,447.1019
2024-01-24,446.2824
2024-01-23,445.5303
2024-01-22,444.8228
2024-01-19,444.1103
2024-01-18,443.3806
2024-01-17,442.6959
2024-01-16,441.9997
2024-01-12,441.2687
2024-01-11,440.4700
2024-01-10,439.7560
2024-01-09,439.0415
2024-01-08,438.3793
2024-01-05,437.6723
2024-01-04,437.0569
2024-01-03,436.5394
2024-01-02,435.9753
2023-12-29,435.3706
2023-12-28,434.8299
2023-12-27,434.3269
2023-12-26,433.8393
2023-12-22,433.3601
2023-12-21,432.9845
2023-12-20,432.5686
2023-12-19,432.2078
2023-12-18,431.7889
2023-12-15,431.3694
2023-12-14,430.9776
2023-12-13,430.5942
2023-12-12,430.2740
2023-12-11,430.0707
2023-12-08,429.8853
2023-12-07,429.7341
2023-12-06,429.5847
2023-12-05,429.3945
2023-12-04,429.1397
2023-12-01,428.8406
2023-11-30,428.5934
2023-11-29,428.3160
2023-11-28,428.0802
2023-11-27,427.8004
2023-11-24,427.5239
2023-11-22,427.2826
2023-11-21,427.0907
2023-11-20,426.9961
2023-11-17,426.8533
2023-11-16,426.7627
2023-11-15,426.6777
2023-11-14,426.6423
2023-11-13,426.6476
2023-11-10,426.7181
2023-11-09,426.8110
2023-11-08,427.0167
2023-11-07,427.2633
2023-11-06,427.5326
2023-11-03,427.8072
2023-11-02,428.0339
2023-11-01,428.3579
