Dates,SMA Values
2025-06-06,566.7270
2025-06-05,565.4640
2025-06-04,563.0497
2025-06-03,560.7610
2025-06-02,558.4907
2025-05-30,557.0905
2025-05-29,556.4687
2025-05-28,555.7417
2025-05-27,555.0332
2025-05-23,554.1460
2025-05-22,553.8452
2025-05-21,553.4827
2025-05-20,553.2977
2025-05-19,552.8285
2025-05-16,552.0567
2025-05-15,551.2966
2025-05-14,550.6709
2025-05-13,549.9646
2025-05-12,549.4298
2025-05-09,548.8832
2025-05-08,548.5188
2025-05-07,548.3222
2025-05-06,548.1498
2025-05-05,548.1523
2025-05-02,548.4194
2025-05-01,548.5252
2025-04-30,549.0963
2025-04-29,549.6111
2025-04-28,550.3036
2025-04-25,551.3423
2025-04-24,552.1587
2025-04-23,553.3104
2025-04-22,554.7364
2025-04-21,556.4406
2025-04-17,558.5472
2025-04-16,560.6007
2025-04-15,562.7365
2025-04-14,564.5377
2025-04-11,566.2565
2025-04-10,568.1056
2025-04-09,570.0298
2025-04-08,571.4017
2025-04-07,574.0657
2025-04-04,576.4304
2025-04-03,578.9110
2025-04-02,580.5537
2025-04-01,581.4401
2025-03-31,582.3153
2025-03-28,583.3310
2025-03-27,584.5201
2025-03-26,585.3433
2025-03-25,586.1962
2025-03-24,586.7491
2025-03-21,587.5507
2025-03-20,588.6493
2025-03-19,589.6700
2025-03-18,590.5653
2025-03-17,591.4766
2025-03-14,592.0870
2025-03-13,592.8340
2025-03-12,593.6009
2025-03-11,594.1622
2025-03-10,594.7746
2025-03-07,595.4952
2025-03-06,595.8120
2025-03-05,596.3766
2025-03-04,596.5982
2025-03-03,596.7921
2025-02-28,596.8497
2025-02-27,596.7011
2025-02-26,596.9494
2025-02-25,597.1188
2025-02-24,597.2948
2025-02-21,597.2320
2025-02-20,597.0129
2025-02-19,596.3593
2025-02-18,595.6466
2025-02-14,595.4173
2025-02-13,595.2946
2025-02-12,595.1071
2025-02-11,595.0814
2025-02-10,595.0848
2025-02-07,594.9839
2025-02-06,595.0314
2025-02-05,595.0183
2025-02-04,595.0291
2025-02-03,595.1254
2025-01-31,595.2286
2025-01-30,595.2238
2025-01-29,595.1120
2025-01-28,594.9883
2025-01-27,594.8422
2025-01-24,594.7470
2025-01-23,594.3872
2025-01-22,593.9374
2025-01-21,593.4913
2025-01-17,593.1247
2025-01-16,592.8411
2025-01-15,592.6459
2025-01-14,592.6111
2025-01-13,592.9357
2025-01-10,593.2730
2025-01-08,593.6789
2025-01-07,593.8463
2025-01-06,593.9711
2025-01-03,593.8146
2025-01-02,593.3869
2024-12-31,592.9702
2024-12-30,592.5481
2024-12-27,592.0131
2024-12-26,591.5913
2024-12-24,591.0555
2024-12-23,590.4973
2024-12-20,590.0594
2024-12-19,589.7147
2024-12-18,589.5132
2024-12-17,589.4397
2024-12-16,588.9264
2024-12-13,588.3749
2024-12-12,587.8319
2024-12-11,587.2846
2024-12-10,586.5970
2024-12-09,586.1379
2024-12-06,585.5143
2024-12-05,584.7273
2024-12-04,583.9940
2024-12-03,583.1371
