Dates,SMA Values
2025-06-06,579.7807
2025-06-05,579.6369
2025-06-04,579.5593
2025-06-03,579.4343
2025-06-02,579.2868
2025-05-30,579.1668
2025-05-29,579.0429
2025-05-28,578.8814
2025-05-27,578.7667
2025-05-23,578.5985
2025-05-22,578.5120
2025-05-21,578.3992
2025-05-20,578.3197
2025-05-19,578.1636
2025-05-16,578.0001
2025-05-15,577.8267
2025-05-14,577.6844
2025-05-13,577.5500
2025-05-12,577.4114
2025-05-09,577.3030
2025-05-08,577.2518
2025-05-07,577.2065
2025-05-06,577.1842
2025-05-05,577.1715
2025-05-02,577.1112
2025-05-01,577.0017
2025-04-30,576.9091
2025-04-29,576.8264
2025-04-28,576.7076
2025-04-25,576.6677
2025-04-24,576.6375
2025-04-23,576.6389
2025-04-22,576.7827
2025-04-21,576.9444
2025-04-17,577.1894
2025-04-16,577.3763
2025-04-15,577.5631
2025-04-14,577.6836
2025-04-11,577.7579
2025-04-10,577.8920
2025-04-09,578.0726
2025-04-08,578.1086
2025-04-07,578.4376
2025-04-04,578.7097
2025-04-03,578.9183
2025-04-02,578.9201
2025-04-01,578.6936
2025-03-31,578.4876
2025-03-28,578.2770
2025-03-27,578.0154
2025-03-26,577.7041
2025-03-25,577.3539
2025-03-24,577.0567
2025-03-21,576.8308
2025-03-20,576.7163
2025-03-19,576.5485
2025-03-18,576.3875
2025-03-17,576.2626
2025-03-14,576.0621
2025-03-13,575.9062
2025-03-12,575.8989
2025-03-11,575.8506
2025-03-10,575.7857
2025-03-07,575.7144
2025-03-06,575.5740
2025-03-05,575.5027
2025-03-04,575.3463
2025-03-03,575.2189
2025-02-28,575.0268
2025-02-27,574.7998
2025-02-26,574.5956
2025-02-25,574.3289
2025-02-24,574.0602
2025-02-21,573.7532
2025-02-20,573.4141
2025-02-19,572.9871
2025-02-18,572.5374
2025-02-14,572.1100
2025-02-13,571.6883
2025-02-12,571.2623
2025-02-11,570.8630
2025-02-10,570.4626
2025-02-07,570.0695
2025-02-06,569.7110
2025-02-05,569.3094
2025-02-04,568.8942
2025-02-03,568.4922
2025-01-31,568.1084
2025-01-30,567.6722
2025-01-29,567.2079
2025-01-28,566.7536
2025-01-27,566.2864
2025-01-24,565.8514
2025-01-23,565.3240
2025-01-22,564.7819
2025-01-21,564.2577
2025-01-17,563.7254
2025-01-16,563.2486
2025-01-15,562.8317
2025-01-14,562.4055
2025-01-13,562.0237
2025-01-10,561.6709
2025-01-08,561.3331
2025-01-07,560.9311
2025-01-06,560.5308
2025-01-03,560.0839
2025-01-02,559.6649
2024-12-31,559.2515
2024-12-30,558.8143
2024-12-27,558.3634
2024-12-26,557.8661
2024-12-24,557.3109
2024-12-23,556.7556
2024-12-20,556.2381
2024-12-19,555.7099
2024-12-18,555.1868
2024-12-17,554.6336
2024-12-16,553.9786
2024-12-13,553.3580
2024-12-12,552.7423
2024-12-11,552.0964
2024-12-10,551.4429
2024-12-09,550.8199
2024-12-06,550.1485
2024-12-05,549.4296
2024-12-04,548.7448
2024-12-03,548.0600
2024-12-02,547.4170
2024-11-29,546.7814
2024-11-27,546.1920
2024-11-26,545.6698
2024-11-25,545.1124
2024-11-22,544.6064
2024-11-21,544.1093
2024-11-20,543.6218
2024-11-19,543.1209
2024-11-18,542.6604
2024-11-15,542.2097
2024-11-14,541.7945
2024-11-13,541.3376
2024-11-12,540.8575
2024-11-11,540.3523
2024-11-08,539.8415
2024-11-07,539.3431
2024-11-06,538.8668
2024-11-05,538.4083
2024-11-04,538.0095
2024-11-01,537.6358
2024-10-31,537.2358
2024-10-30,536.8723
2024-10-29,536.4446
2024-10-28,536.0109
2024-10-25,535.5492
2024-10-24,535.1013
2024-10-23,534.6712
2024-10-22,534.2177
2024-10-21,533.7153
2024-10-18,533.2425
2024-10-17,532.7671
2024-10-16,532.2762
2024-10-15,531.7745
2024-10-14,531.2926
2024-10-11,530.7766
2024-10-10,530.3016
2024-10-09,529.8458
2024-10-08,529.3205
2024-10-07,528.8170
2024-10-04,528.3638
2024-10-03,527.8938
2024-10-02,527.4347
2024-10-01,526.9415
2024-09-30,526.4923
2024-09-27,526.0125
2024-09-26,525.5292
2024-09-25,525.0393
2024-09-24,524.5382
2024-09-23,524.0205
2024-09-20,523.5239
2024-09-19,523.0045
2024-09-18,522.4401
2024-09-17,521.9843
2024-09-16,521.5205
2024-09-13,521.0343
2024-09-12,520.5572
2024-09-11,520.0818
2024-09-10,519.6321
2024-09-09,519.2086
2024-09-06,518.7936
2024-09-05,518.3795
2024-09-04,517.8822
2024-09-03,517.3929
2024-08-30,516.9074
2024-08-29,516.3480
2024-08-28,515.8229
2024-08-27,515.2817
2024-08-26,514.7247
2024-08-23,514.1313
2024-08-22,513.5257
2024-08-21,512.9660
2024-08-20,512.4028
2024-08-19,511.8679
2024-08-16,511.3358
2024-08-15,510.8354
2024-08-14,510.3374
2024-08-13,509.8848
2024-08-12,509.4370
2024-08-09,509.0161
2024-08-08,508.6375
2024-08-07,508.2557
2024-08-06,507.9318
2024-08-05,507.5912
2024-08-02,507.2707
2024-08-01,506.8150
2024-07-31,506.2838
2024-07-30,505.6933
2024-07-29,505.1453
2024-07-26,504.5589
2024-07-25,503.9857
2024-07-24,503.4505
2024-07-23,502.9126
2024-07-22,502.2804
2024-07-19,501.6319
2024-07-18,501.0203
2024-07-17,500.3833
2024-07-16,499.7248
2024-07-15,499.0156
2024-07-12,498.3163
2024-07-11,497.6325
2024-07-10,496.9492
2024-07-09,496.2326
2024-07-08,495.5466
2024-07-05,494.8581
2024-07-03,494.1213
2024-07-02,493.4067
2024-07-01,492.6658
2024-06-28,491.9686
2024-06-27,491.2763
2024-06-26,490.5631
2024-06-25,489.8491
2024-06-24,489.1152
2024-06-21,488.3446
2024-06-20,487.5358
2024-06-18,486.7064
2024-06-17,485.8378
2024-06-14,484.9892
2024-06-13,484.1979
2024-06-12,483.4459
2024-06-11,482.6812
2024-06-10,481.9481
2024-06-07,481.2552
2024-06-06,480.5956
2024-06-05,479.9676
2024-06-04,479.3396
2024-06-03,478.7226
2024-05-31,478.1225
2024-05-30,477.5413
2024-05-29,476.9786
2024-05-28,476.3805
2024-05-24,475.7427
2024-05-23,475.0763
2024-05-22,474.4324
2024-05-21,473.7458
2024-05-20,473.0848
2024-05-17,472.4328
2024-05-16,471.7910
2024-05-15,471.1387
2024-05-14,470.4787
2024-05-13,469.8976
2024-05-10,469.3201
2024-05-09,468.7490
2024-05-08,468.2265
2024-05-07,467.7473
2024-05-06,467.2740
2024-05-03,466.8027
2024-05-02,466.3970
2024-05-01,466.0063
2024-04-30,465.6414
2024-04-29,465.2815
2024-04-26,464.8538
2024-04-25,464.4331
2024-04-24,464.0503
2024-04-23,463.6740
2024-04-22,463.3081
2024-04-19,462.9737
2024-04-18,462.6715
2024-04-17,462.3311
2024-04-16,461.9452
2024-04-15,461.5240
2024-04-12,461.0782
2024-04-11,460.6304
2024-04-10,460.1087
2024-04-09,459.6183
2024-04-08,459.0783
2024-04-05,458.5408
2024-04-04,458.0256
2024-04-03,457.5633
2024-04-02,457.0937
2024-04-01,456.6126
2024-03-28,456.1126
2024-03-27,455.6060
2024-03-26,455.1171
2024-03-25,454.6671
2024-03-22,454.1874
2024-03-21,453.7111
2024-03-20,453.2367
2024-03-19,452.8116
2024-03-18,452.4239
2024-03-15,452.0486
2024-03-14,451.6648
2024-03-13,451.2779
2024-03-12,450.8842
2024-03-11,450.4780
2024-03-08,450.0933
2024-03-07,449.7058
2024-03-06,449.3178
2024-03-05,448.9548
2024-03-04,448.5871
2024-03-01,448.1784
2024-02-29,447.7681
2024-02-28,447.3654
2024-02-27,446.9522
2024-02-26,446.5178
2024-02-23,446.0824
2024-02-22,445.6424
2024-02-21,445.2257
2024-02-20,444.8763
2024-02-16,444.5266
2024-02-15,444.1283
2024-02-14,443.7043
2024-02-13,443.3000
2024-02-12,442.8944
2024-02-09,442.4573
2024-02-08,442.0389
2024-02-07,441.6286
2024-02-06,441.2334
2024-02-05,440.8775
2024-02-02,440.5395
2024-02-01,440.1574
2024-01-31,439.8039
2024-01-30,439.4718
2024-01-29,439.0668
2024-01-26,438.6547
2024-01-25,438.2507
2024-01-24,437.8518
2024-01-23,437.4636
2024-01-22,437.0836
2024-01-19,436.6751
2024-01-18,436.2488
2024-01-17,435.8732
2024-01-16,435.5225
2024-01-12,435.1229
2024-01-11,434.6908
2024-01-10,434.2791
2024-01-09,433.8946
2024-01-08,433.5256
2024-01-05,433.1558
2024-01-04,432.8029
