Dates,SMA Values
2025-06-06,576.9501
2025-06-05,576.6753
2025-06-04,576.4930
2025-06-03,576.2677
2025-06-02,576.0414
2025-05-30,575.8498
2025-05-29,575.6717
2025-05-28,575.4971
2025-05-27,575.3039
2025-05-23,575.1156
2025-05-22,574.9807
2025-05-21,574.8296
2025-05-20,574.6521
2025-05-19,574.4156
2025-05-16,574.1199
2025-05-15,573.8187
2025-05-14,573.4915
2025-05-13,573.1779
2025-05-12,572.8560
2025-05-09,572.4919
2025-05-08,572.2442
2025-05-07,571.9678
2025-05-06,571.7929
2025-05-05,571.6831
2025-05-02,571.5892
2025-05-01,571.4322
2025-04-30,571.3333
2025-04-29,571.2533
2025-04-28,571.1431
2025-04-25,571.0659
2025-04-24,571.0552
2025-04-23,571.0698
2025-04-22,571.1142
2025-04-21,571.2208
2025-04-17,571.4200
2025-04-16,571.5946
2025-04-15,571.7558
2025-04-14,571.8460
2025-04-11,571.9100
2025-04-10,572.0265
2025-04-09,572.1636
2025-04-08,572.1713
2025-04-07,572.4502
2025-04-04,572.6708
2025-04-03,572.8740
2025-04-02,572.8926
2025-04-01,572.7590
2025-03-31,572.6553
2025-03-28,572.5554
2025-03-27,572.4716
2025-03-26,572.3168
2025-03-25,572.1633
2025-03-24,571.9774
2025-03-21,571.8066
2025-03-20,571.6816
2025-03-19,571.5352
2025-03-18,571.3785
2025-03-17,571.2482
2025-03-14,571.0627
2025-03-13,570.8934
2025-03-12,570.7752
2025-03-11,570.6213
2025-03-10,570.4830
2025-03-07,570.2876
2025-03-06,570.0086
2025-03-05,569.7442
2025-03-04,569.4007
2025-03-03,569.1080
2025-02-28,568.7982
2025-02-27,568.4319
2025-02-26,568.0955
2025-02-25,567.7293
2025-02-24,567.3727
2025-02-21,566.9937
2025-02-20,566.5973
2025-02-19,566.1421
2025-02-18,565.6792
2025-02-14,565.1901
2025-02-13,564.6981
2025-02-12,564.2055
2025-02-11,563.7428
2025-02-10,563.2545
2025-02-07,562.7683
2025-02-06,562.3005
2025-02-05,561.7762
2025-02-04,561.2304
2025-02-03,560.6730
2025-01-31,560.1452
2025-01-30,559.6381
2025-01-29,559.1047
2025-01-28,558.5635
2025-01-27,558.0181
2025-01-24,557.5009
2025-01-23,556.9078
2025-01-22,556.2816
2025-01-21,555.6955
2025-01-17,555.1325
2025-01-16,554.6137
2025-01-15,554.1309
2025-01-14,553.6753
2025-01-13,553.3125
2025-01-10,552.9337
2025-01-08,552.5867
2025-01-07,552.1893
2025-01-06,551.7949
2025-01-03,551.3373
2025-01-02,550.9306
2024-12-31,550.5593
2024-12-30,550.1977
2024-12-27,549.8295
2024-12-26,549.4263
2024-12-24,548.9672
2024-12-23,548.5133
2024-12-20,548.1015
2024-12-19,547.7135
2024-12-18,547.3533
2024-12-17,546.9673
2024-12-16,546.4723
2024-12-13,545.9484
2024-12-12,545.4564
2024-12-11,544.9690
2024-12-10,544.4694
2024-12-09,543.9657
2024-12-06,543.4544
2024-12-05,542.9428
2024-12-04,542.4110
2024-12-03,541.8606
2024-12-02,541.3564
2024-11-29,540.8564
2024-11-27,540.3375
2024-11-26,539.8285
2024-11-25,539.3135
2024-11-22,538.8099
2024-11-21,538.3266
2024-11-20,537.8511
2024-11-19,537.3388
2024-11-18,536.8252
2024-11-15,536.3371
2024-11-14,535.8746
2024-11-13,535.3544
2024-11-12,534.7910
2024-11-11,534.2647
2024-11-08,533.7299
2024-11-07,533.1832
2024-11-06,532.6488
2024-11-05,532.1170
2024-11-04,531.6527
2024-11-01,531.2338
2024-10-31,530.7818
2024-10-30,530.3097
2024-10-29,529.8195
2024-10-28,529.3221
2024-10-25,528.8096
2024-10-24,528.3097
2024-10-23,527.7951
2024-10-22,527.2843
2024-10-21,526.7383
2024-10-18,526.1853
2024-10-17,525.5966
2024-10-16,524.9979
2024-10-15,524.4130
2024-10-14,523.8505
2024-10-11,523.2624
2024-10-10,522.7003
2024-10-09,522.1423
2024-10-08,521.5827
2024-10-07,521.0093
2024-10-04,520.4607
2024-10-03,519.8928
2024-10-02,519.3719
2024-10-01,518.8594
2024-09-30,518.3552
2024-09-27,517.8232
2024-09-26,517.2988
2024-09-25,516.7596
2024-09-24,516.2274
2024-09-23,515.6655
2024-09-20,515.1463
2024-09-19,514.6196
2024-09-18,514.0741
2024-09-17,513.5826
2024-09-16,513.0745
2024-09-13,512.5347
2024-09-12,511.9882
2024-09-11,511.4478
2024-09-10,510.9215
2024-09-09,510.4067
2024-09-06,509.9138
2024-09-05,509.4529
2024-09-04,508.9563
2024-09-03,508.4387
2024-08-30,507.9059
2024-08-29,507.3144
2024-08-28,506.7483
2024-08-27,506.1867
2024-08-26,505.6066
2024-08-23,505.0215
2024-08-22,504.4346
2024-08-21,503.8606
2024-08-20,503.2607
2024-08-19,502.6680
2024-08-16,502.0657
2024-08-15,501.4469
2024-08-14,500.8368
2024-08-13,500.2403
2024-08-12,499.6703
2024-08-09,499.1444
2024-08-08,498.6136
2024-08-07,498.0898
2024-08-06,497.6083
2024-08-05,497.0667
2024-08-02,496.5271
2024-08-01,495.8930
2024-07-31,495.1809
2024-07-30,494.4377
2024-07-29,493.7663
2024-07-26,493.1119
2024-07-25,492.4428
2024-07-24,491.8089
2024-07-23,491.1873
2024-07-22,490.5198
2024-07-19,489.8777
2024-07-18,489.2653
2024-07-17,488.6103
2024-07-16,487.9441
2024-07-15,487.2504
2024-07-12,486.5648
2024-07-11,485.8756
2024-07-10,485.1906
2024-07-09,484.4543
2024-07-08,483.7475
2024-07-05,483.0277
2024-07-03,482.3408
2024-07-02,481.6713
2024-07-01,481.0199
2024-06-28,480.3750
2024-06-27,479.7350
2024-06-26,479.1165
2024-06-25,478.4932
2024-06-24,477.8785
2024-06-21,477.3121
2024-06-20,476.7574
2024-06-18,476.2037
2024-06-17,475.6409
2024-06-14,475.1131
2024-06-13,474.5880
2024-06-12,474.0619
2024-06-11,473.5541
2024-06-10,473.0542
2024-06-07,472.5575
2024-06-06,472.0765
2024-06-05,471.6076
2024-06-04,471.1487
2024-06-03,470.7181
2024-05-31,470.2940
2024-05-30,469.8625
2024-05-29,469.4230
2024-05-28,468.9509
2024-05-24,468.4437
2024-05-23,467.9700
2024-05-22,467.4893
2024-05-21,466.9947
2024-05-20,466.4774
2024-05-17,465.9659
2024-05-16,465.4747
2024-05-15,465.0042
2024-05-14,464.5548
2024-05-13,464.1265
2024-05-10,463.7120
2024-05-09,463.2970
2024-05-08,462.9009
2024-05-07,462.5303
2024-05-06,462.1400
2024-05-03,461.7631
2024-05-02,461.4202
2024-05-01,461.1426
2024-04-30,460.8960
2024-04-29,460.6364
2024-04-26,460.3121
2024-04-25,460.0126
2024-04-24,459.7376
2024-04-23,459.4463
2024-04-22,459.1433
2024-04-19,458.8711
2024-04-18,458.6381
2024-04-17,458.3773
2024-04-16,458.0939
2024-04-15,457.7870
2024-04-12,457.4768
2024-04-11,457.1151
2024-04-10,456.6979
2024-04-09,456.2865
2024-04-08,455.8424
2024-04-05,455.4071
2024-04-04,454.9912
2024-04-03,454.6065
2024-04-02,454.1862
2024-04-01,453.7423
2024-03-28,453.2723
2024-03-27,452.7964
2024-03-26,452.2958
2024-03-25,451.8268
2024-03-22,451.3699
2024-03-21,450.8974
2024-03-20,450.4312
2024-03-19,449.9857
2024-03-18,449.5727
2024-03-15,449.1468
2024-03-14,448.7339
2024-03-13,448.2882
2024-03-12,447.8171
2024-03-11,447.3379
2024-03-08,446.8740
2024-03-07,446.4154
2024-03-06,445.9361
2024-03-05,445.4871
2024-03-04,445.0202
2024-03-01,444.5065
2024-02-29,444.0018
2024-02-28,443.5210
2024-02-27,443.0222
2024-02-26,442.5016
2024-02-23,442.0013
