Dates,SMA Values
2025-06-06,573.6933
2025-06-05,573.7154
2025-06-04,573.7443
2025-06-03,573.6804
2025-06-02,573.6269
2025-05-30,573.4978
2025-05-29,573.3952
2025-05-28,573.2763
2025-05-27,573.2762
2025-05-23,573.2311
2025-05-22,573.3834
2025-05-21,573.4580
2025-05-20,573.4583
2025-05-19,573.3685
2025-05-16,573.2802
2025-05-15,573.2699
2025-05-14,573.3655
2025-05-13,573.4908
2025-05-12,573.5547
2025-05-09,573.6219
2025-05-08,573.8121
2025-05-07,573.9966
2025-05-06,574.4106
2025-05-05,574.8755
2025-05-02,575.2639
2025-05-01,575.6193
2025-04-30,576.0946
2025-04-29,576.5627
2025-04-28,577.0527
2025-04-25,577.6119
2025-04-24,578.1614
2025-04-23,578.7628
2025-04-22,579.4437
2025-04-21,580.2077
2025-04-17,581.1011
2025-04-16,581.8237
2025-04-15,582.5732
2025-04-14,583.1643
2025-04-11,583.7184
2025-04-10,584.3078
2025-04-09,584.9625
2025-04-08,585.3621
2025-04-07,586.2880
2025-04-04,587.1057
2025-04-03,587.9934
2025-04-02,588.5905
2025-04-01,588.8918
2025-03-31,589.2498
2025-03-28,589.6186
2025-03-27,589.9996
2025-03-26,590.2126
2025-03-25,590.2597
2025-03-24,590.1624
2025-03-21,590.0926
2025-03-20,590.1039
2025-03-19,590.2361
2025-03-18,590.3695
2025-03-17,590.5572
2025-03-14,590.6619
2025-03-13,590.8141
2025-03-12,591.0729
2025-03-11,591.3092
2025-03-10,591.5797
2025-03-07,591.8114
2025-03-06,591.8586
2025-03-05,591.9390
2025-03-04,591.8844
2025-03-03,591.9424
2025-02-28,591.8782
2025-02-27,591.6688
2025-02-26,591.5657
2025-02-25,591.3215
2025-02-24,591.0242
2025-02-21,590.7500
2025-02-20,590.3932
2025-02-19,589.9377
2025-02-18,589.4529
2025-02-14,589.0369
2025-02-13,588.6158
2025-02-12,588.2031
2025-02-11,587.8336
2025-02-10,587.4568
2025-02-07,587.0678
2025-02-06,586.7067
2025-02-05,586.2977
2025-02-04,585.8108
2025-02-03,585.3669
2025-01-31,584.9628
2025-01-30,584.5074
2025-01-29,583.9878
2025-01-28,583.4534
2025-01-27,582.8319
2025-01-24,582.2396
2025-01-23,581.4939
2025-01-22,580.8261
2025-01-21,580.2069
2025-01-17,579.6351
2025-01-16,579.2417
2025-01-15,578.8550
2025-01-14,578.4558
2025-01-13,578.2018
2025-01-10,577.9481
2025-01-08,577.7179
2025-01-07,577.3316
2025-01-06,577.0002
2025-01-03,576.5781
2025-01-02,576.2013
2024-12-31,575.8460
2024-12-30,575.4626
2024-12-27,574.9596
2024-12-26,574.3674
2024-12-24,573.6174
2024-12-23,572.8649
2024-12-20,572.1574
2024-12-19,571.3620
2024-12-18,570.6763
2024-12-17,569.9391
2024-12-16,569.1753
2024-12-13,568.4907
2024-12-12,567.9145
2024-12-11,567.2452
2024-12-10,566.5719
2024-12-09,565.9440
2024-12-06,565.2336
2024-12-05,564.5198
2024-12-04,563.9490
2024-12-03,563.3767
2024-12-02,562.7847
2024-11-29,562.2338
2024-11-27,561.7389
2024-11-26,561.3655
2024-11-25,560.9383
2024-11-22,560.5277
2024-11-21,560.1016
2024-11-20,559.7452
2024-11-19,559.3647
2024-11-18,558.9806
2024-11-15,558.6123
2024-11-14,558.2360
2024-11-13,557.7546
2024-11-12,557.1948
2024-11-11,556.6263
2024-11-08,556.0608
2024-11-07,555.4923
2024-11-06,554.9437
2024-11-05,554.4211
2024-11-04,554.0669
2024-11-01,553.7925
2024-10-31,553.5206
2024-10-30,553.2594
2024-10-29,552.8344
2024-10-28,552.3875
2024-10-25,551.9391
2024-10-24,551.4636
2024-10-23,550.9726
2024-10-22,550.4776
2024-10-21,549.9335
2024-10-18,549.3863
2024-10-17,548.7638
2024-10-16,548.1585
2024-10-15,547.5494
2024-10-14,546.9171
2024-10-11,546.2736
2024-10-10,545.7182
2024-10-09,545.1951
2024-10-08,544.6253
2024-10-07,544.1372
2024-10-04,543.7212
2024-10-03,543.2374
2024-10-02,542.8013
2024-10-01,542.3465
2024-09-30,541.9055
2024-09-27,541.3433
2024-09-26,540.7803
2024-09-25,540.2078
2024-09-24,539.6521
2024-09-23,539.0521
2024-09-20,538.4687
2024-09-19,537.8943
2024-09-18,537.2547
2024-09-17,536.6499
2024-09-16,535.9790
2024-09-13,535.3275
2024-09-12,534.7687
2024-09-11,534.2216
2024-09-10,533.6736
2024-09-09,533.2042
2024-09-06,532.7622
2024-09-05,532.3216
2024-09-04,531.7372
2024-09-03,531.1841
2024-08-30,530.6300
2024-08-29,529.9858
2024-08-28,529.4068
2024-08-27,528.8948
2024-08-26,528.4232
2024-08-23,527.9193
2024-08-22,527.4554
2024-08-21,527.0469
2024-08-20,526.5896
2024-08-19,526.0965
2024-08-16,525.6599
2024-08-15,525.2726
2024-08-14,524.9327
2024-08-13,524.6995
2024-08-12,524.4852
2024-08-09,524.3170
2024-08-08,524.1616
2024-08-07,524.0457
2024-08-06,524.0651
2024-08-05,524.0302
2024-08-02,523.9955
2024-08-01,523.7693
2024-07-31,523.4061
2024-07-30,522.9982
2024-07-29,522.6927
2024-07-26,522.3668
2024-07-25,521.9873
2024-07-24,521.6752
2024-07-23,521.3657
2024-07-22,520.8730
2024-07-19,520.3445
2024-07-18,519.9281
2024-07-17,519.4791
2024-07-16,518.9360
2024-07-15,518.2915
2024-07-12,517.6887
2024-07-11,517.0922
2024-07-10,516.5516
2024-07-09,515.9569
2024-07-08,515.3129
2024-07-05,514.6698
2024-07-03,514.0620
2024-07-02,513.5132
2024-07-01,512.9543
2024-06-28,512.3872
2024-06-27,511.9032
2024-06-26,511.3991
2024-06-25,510.8741
2024-06-24,510.3539
2024-06-21,509.8129
2024-06-20,509.2385
2024-06-18,508.6752
2024-06-17,508.0431
2024-06-14,507.3599
2024-06-13,506.8046
2024-06-12,506.2567
2024-06-11,505.6802
2024-06-10,505.1558
2024-06-07,504.6176
2024-06-06,504.0910
2024-06-05,503.5430
2024-06-04,502.9844
2024-06-03,502.4295
2024-05-31,501.8372
2024-05-30,501.2767
2024-05-29,500.7838
2024-05-28,500.2513
2024-05-24,499.6823
2024-05-23,499.0894
2024-05-22,498.5402
2024-05-21,497.8815
2024-05-20,497.2003
2024-05-17,496.5482
2024-05-16,495.9425
2024-05-15,495.3723
2024-05-14,494.8050
2024-05-13,494.3032
2024-05-10,493.8173
2024-05-09,493.3114
2024-05-08,492.8027
2024-05-07,492.2789
2024-05-06,491.8238
2024-05-03,491.3449
2024-05-02,490.8936
2024-05-01,490.5153
2024-04-30,490.1700
2024-04-29,489.7418
2024-04-26,489.2078
2024-04-25,488.6740
2024-04-24,488.1695
2024-04-23,487.6093
2024-04-22,487.0655
2024-04-19,486.5843
2024-04-18,486.1753
2024-04-17,485.6932
2024-04-16,485.1819
2024-04-15,484.6429
2024-04-12,484.0897
2024-04-11,483.4785
2024-04-10,482.7900
2024-04-09,482.1238
2024-04-08,481.4138
2024-04-05,480.6742
2024-04-04,479.9318
2024-04-03,479.2395
2024-04-02,478.4715
2024-04-01,477.6212
2024-03-28,476.7408
2024-03-27,475.7811
2024-03-26,474.8555
2024-03-25,473.9719
2024-03-22,473.0656
2024-03-21,472.1340
2024-03-20,471.1515
2024-03-19,470.1033
2024-03-18,469.0587
2024-03-15,468.0167
2024-03-14,466.9556
2024-03-13,465.8772
2024-03-12,464.8399
2024-03-11,463.8569
2024-03-08,462.8982
2024-03-07,461.9425
2024-03-06,461.0088
2024-03-05,460.1666
2024-03-04,459.4110
2024-03-01,458.6025
2024-02-29,457.7415
2024-02-28,456.9522
2024-02-27,456.2092
2024-02-26,455.4409
2024-02-23,454.6591
2024-02-22,453.8296
2024-02-21,452.9518
2024-02-20,452.1822
2024-02-16,451.3856
2024-02-15,450.6196
2024-02-14,449.8294
2024-02-13,449.0856
2024-02-12,448.3628
2024-02-09,447.5668
2024-02-08,446.8340
2024-02-07,446.1124
2024-02-06,445.4031
2024-02-05,444.8112
2024-02-02,444.2762
2024-02-01,443.7321
2024-01-31,443.2386
2024-01-30,442.8662
2024-01-29,442.3713
2024-01-26,441.8670
2024-01-25,441.4280
2024-01-24,440.9525
2024-01-23,440.4975
2024-01-22,440.0620
2024-01-19,439.6722
2024-01-18,439.3130
2024-01-17,439.0067
2024-01-16,438.7508
2024-01-12,438.4484
2024-01-11,438.0621
2024-01-10,437.6506
2024-01-09,437.2051
2024-01-08,436.8506
2024-01-05,436.4385
2024-01-04,436.1078
2024-01-03,435.7545
2024-01-02,435.3835
2023-12-29,435.0069
2023-12-28,434.6361
2023-12-27,434.3047
2023-12-26,433.9499
2023-12-22,433.6067
2023-12-21,433.2825
2023-12-20,432.9991
2023-12-19,432.7818
2023-12-18,432.4562
2023-12-15,432.1812
2023-12-14,431.9469
2023-12-13,431.7699
2023-12-12,431.6219
2023-12-11,431.5310
2023-12-08,431.4164
2023-12-07,431.3512
2023-12-06,431.3057
2023-12-05,431.2832
2023-12-04,431.2210
2023-12-01,431.1579
2023-11-30,431.1009
2023-11-29,431.0614
2023-11-28,431.0060
2023-11-27,430.9312
2023-11-24,430.8639
2023-11-22,430.7517
2023-11-21,430.6059
2023-11-20,430.4493
2023-11-17,430.2710
2023-11-16,430.1400
2023-11-15,430.0505
2023-11-14,429.9734
2023-11-13,429.9009
2023-11-10,429.8633
2023-11-09,429.8038
2023-11-08,429.8118
2023-11-07,429.7360
2023-11-06,429.6817
2023-11-03,429.6741
2023-11-02,429.6607
2023-11-01,429.7109
2023-10-31,429.8682
2023-10-30,430.0868
2023-10-27,430.2769
2023-10-26,430.5123
2023-10-25,430.6991
2023-10-24,430.7943
2023-10-23,430.8190
2023-10-20,430.8498
2023-10-19,430.8884
2023-10-18,430.8633
