Dates,SMA Values
2025-06-06,579.7877
2025-06-05,579.6620
2025-06-04,579.5775
2025-06-03,579.4805
2025-06-02,579.3682
2025-05-30,579.2774
2025-05-29,579.1918
2025-05-28,579.1311
2025-05-27,579.0549
2025-05-23,578.9346
2025-05-22,578.8984
2025-05-21,578.8111
2025-05-20,578.6909
2025-05-19,578.5394
2025-05-16,578.3419
2025-05-15,578.1553
2025-05-14,577.9913
2025-05-13,577.8788
2025-05-12,577.7564
2025-05-09,577.6641
2025-05-08,577.6777
2025-05-07,577.6948
2025-05-06,577.7266
2025-05-05,577.7644
2025-05-02,577.7782
2025-05-01,577.7098
2025-04-30,577.7055
2025-04-29,577.7251
2025-04-28,577.7409
2025-04-25,577.7603
2025-04-24,577.7513
2025-04-23,577.7317
2025-04-22,577.7697
2025-04-21,577.8217
2025-04-17,578.0191
2025-04-16,578.1442
2025-04-15,578.2814
2025-04-14,578.4156
2025-04-11,578.5060
2025-04-10,578.6295
2025-04-09,578.8342
2025-04-08,578.8789
2025-04-07,579.2686
2025-04-04,579.5695
2025-04-03,579.8927
2025-04-02,580.0010
2025-04-01,579.9356
2025-03-31,579.8592
2025-03-28,579.7851
2025-03-27,579.6754
2025-03-26,579.4812
2025-03-25,579.2212
2025-03-24,578.9151
2025-03-21,578.6029
2025-03-20,578.2792
2025-03-19,577.9791
2025-03-18,577.6379
2025-03-17,577.4352
2025-03-14,577.2577
2025-03-13,577.1579
2025-03-12,577.0751
2025-03-11,576.9621
2025-03-10,576.8659
2025-03-07,576.7013
2025-03-06,576.4560
2025-03-05,576.3116
2025-03-04,576.1061
2025-03-03,575.9044
2025-02-28,575.6816
2025-02-27,575.4193
2025-02-26,575.2663
2025-02-25,575.0309
2025-02-24,574.7877
2025-02-21,574.5029
2025-02-20,574.2315
2025-02-19,573.8578
2025-02-18,573.4643
2025-02-14,573.0759
2025-02-13,572.6787
2025-02-12,572.2656
2025-02-11,571.8701
2025-02-10,571.4549
2025-02-07,571.0563
2025-02-06,570.6786
2025-02-05,570.2607
2025-02-04,569.8430
2025-02-03,569.4524
2025-01-31,569.0921
2025-01-30,568.7154
2025-01-29,568.3090
2025-01-28,567.8959
