Dates,SMA Values
2025-06-06,562.0109
2025-06-05,561.7366
2025-06-04,561.4610
2025-06-03,561.2470
2025-06-02,561.1902
2025-05-30,561.0454
2025-05-29,561.0972
2025-05-28,561.1342
2025-05-27,561.2525
2025-05-23,561.3601
2025-05-22,561.8130
2025-05-21,562.2438
2025-05-20,562.6561
2025-05-19,562.8872
2025-05-16,563.0880
2025-05-15,563.2011
2025-05-14,563.4017
2025-05-13,563.6393
2025-05-12,563.8259
2025-05-09,564.1569
2025-05-08,564.7426
2025-05-07,565.2797
2025-05-06,565.8156
2025-05-05,566.4497
2025-05-02,567.0607
2025-05-01,567.5722
2025-04-30,568.2527
2025-04-29,568.9148
2025-04-28,569.7122
2025-04-25,570.5902
2025-04-24,571.4207
2025-04-23,572.2600
2025-04-22,573.1887
2025-04-21,574.1520
2025-04-17,575.3385
2025-04-16,576.1699
2025-04-15,577.0004
2025-04-14,577.6334
2025-04-11,578.3811
2025-04-10,579.1953
2025-04-09,580.2568
2025-04-08,580.8961
2025-04-07,582.2255
2025-04-04,583.4554
2025-04-03,584.7042
2025-04-02,585.5739
2025-04-01,586.1126
2025-03-31,586.7054
2025-03-28,587.2210
2025-03-27,587.7397
2025-03-26,587.9755
2025-03-25,588.1909
2025-03-24,588.5758
2025-03-21,589.0202
2025-03-20,589.5806
2025-03-19,590.1456
2025-03-18,590.7333
2025-03-17,591.3435
2025-03-14,591.8884
2025-03-13,592.5478
2025-03-12,593.3642
2025-03-11,594.0817
2025-03-10,594.7871
2025-03-07,595.4168
2025-03-06,595.7946
2025-03-05,596.1648
2025-03-04,596.4041
2025-03-03,596.6907
2025-02-28,596.8405
2025-02-27,596.8025
2025-02-26,596.8561
2025-02-25,596.7611
2025-02-24,596.6378
2025-02-21,596.4322
2025-02-20,596.3010
2025-02-19,596.0683
2025-02-18,595.7921
2025-02-14,595.5664
2025-02-13,595.3594
2025-02-12,595.1126
2025-02-11,594.8936
2025-02-10,594.4254
2025-02-07,593.8590
2025-02-06,593.3740
2025-02-05,592.7671
2025-02-04,592.3663
2025-02-03,592.0298
2025-01-31,591.7404
2025-01-30,591.3616
2025-01-29,590.9364
2025-01-28,590.5417
2025-01-27,590.1868
2025-01-24,589.9157
2025-01-23,589.5274
2025-01-22,589.0775
2025-01-21,588.6777
2025-01-17,588.2913
2025-01-16,588.0582
2025-01-15,587.8437
2025-01-14,587.5591
2025-01-13,587.4523
2025-01-10,587.2970
2025-01-08,587.0735
2025-01-07,586.7912
2025-01-06,586.4431
2025-01-03,586.0077
2025-01-02,585.6210
2024-12-31,585.4249
2024-12-30,585.1718
2024-12-27,584.8985
2024-12-26,584.4865
2024-12-24,583.9967
2024-12-23,583.4826
2024-12-20,583.0482
2024-12-19,582.6830
2024-12-18,582.2792
2024-12-17,581.8980
2024-12-16,581.2379
2024-12-13,580.5271
2024-12-12,579.8111
2024-12-11,579.0221
2024-12-10,578.0995
2024-12-09,577.2119
2024-12-06,576.2033
2024-12-05,575.2878
2024-12-04,574.4103
2024-12-03,573.5348
2024-12-02,572.8934
2024-11-29,572.1750
2024-11-27,571.4724
2024-11-26,570.8763
2024-11-25,570.2407
2024-11-22,569.6732
2024-11-21,569.0465
2024-11-20,568.5150
2024-11-19,568.0027
2024-11-18,567.5073
2024-11-15,566.9640
2024-11-14,566.4385
2024-11-13,565.6548
2024-11-12,564.7863
2024-11-11,563.7886
2024-11-08,562.7582
2024-11-07,561.7008
2024-11-06,560.5001
2024-11-05,559.4225
2024-11-04,558.4914
2024-11-01,557.9022
2024-10-31,557.4483
2024-10-30,557.1499
2024-10-29,556.5435
2024-10-28,555.9522
2024-10-25,555.3704
2024-10-24,554.7240
2024-10-23,554.1176
2024-10-22,553.7216
2024-10-21,553.2573
2024-10-18,552.7020
2024-10-17,552.1880
2024-10-16,551.7735
2024-10-15,551.4804
2024-10-14,551.1751
2024-10-11,550.7770
2024-10-10,550.3978
2024-10-09,550.1451
2024-10-08,549.7931
2024-10-07,549.4936
2024-10-04,549.2665
2024-10-03,548.9117
2024-10-02,548.5984
2024-10-01,548.2133
2024-09-30,547.8148
2024-09-27,547.3705
2024-09-26,546.9481
2024-09-25,546.5026
2024-09-24,546.0599
2024-09-23,545.6248
2024-09-20,545.2258
2024-09-19,544.8711
2024-09-18,544.4803
2024-09-17,544.1699
2024-09-16,543.8290
2024-09-13,543.4751
2024-09-12,543.0668
2024-09-11,542.6834
2024-09-10,542.3461
2024-09-09,542.1045
2024-09-06,541.8994
2024-09-05,541.6910
2024-09-04,541.3327
2024-09-03,540.9474
2024-08-30,540.4726
2024-08-29,539.8741
2024-08-28,539.4131
2024-08-27,538.9473
2024-08-26,538.3789
2024-08-23,537.8810
2024-08-22,537.3860
2024-08-21,536.9613
2024-08-20,536.4602
2024-08-19,535.9769
2024-08-16,535.4963
2024-08-15,534.9980
2024-08-14,534.4823
2024-08-13,534.1075
2024-08-12,533.7487
2024-08-09,533.4782
2024-08-08,533.2113
2024-08-07,532.9713
2024-08-06,532.8339
2024-08-05,532.5482
2024-08-02,532.2641
2024-08-01,531.7682
2024-07-31,531.2410
2024-07-30,530.5676
2024-07-29,529.9559
2024-07-26,529.3314
2024-07-25,528.7154
2024-07-24,528.1012
2024-07-23,527.3747
2024-07-22,526.5233
2024-07-19,525.6742
2024-07-18,524.9566
2024-07-17,524.1971
2024-07-16,523.4696
2024-07-15,522.7300
2024-07-12,521.9822
2024-07-11,521.3368
2024-07-10,520.7359
2024-07-09,520.0567
2024-07-08,519.3800
2024-07-05,518.8078
2024-07-03,518.2368
2024-07-02,517.7646
2024-07-01,517.3436
2024-06-28,516.9800
2024-06-27,516.5673
2024-06-26,516.1363
2024-06-25,515.7404
2024-06-24,515.3699
2024-06-21,515.0051
2024-06-20,514.5408
2024-06-18,514.0222
2024-06-17,513.4349
2024-06-14,512.9221
2024-06-13,512.4903
2024-06-12,512.0759
2024-06-11,511.5947
2024-06-10,511.1871
2024-06-07,510.8460
2024-06-06,510.4533
2024-06-05,510.0118
2024-06-04,509.6477
2024-06-03,509.3873
2024-05-31,509.0637
2024-05-30,508.7190
2024-05-29,508.4567
2024-05-28,508.1273
2024-05-24,507.7696
2024-05-23,507.4122
2024-05-22,506.9519
2024-05-21,506.4260
2024-05-20,505.9185
2024-05-17,505.4686
2024-05-16,504.9758
2024-05-15,504.4266
2024-05-14,503.9654
2024-05-13,503.6059
2024-05-10,503.2391
2024-05-09,502.8700
2024-05-08,502.4488
2024-05-07,502.0511
2024-05-06,501.6814
2024-05-03,501.2425
2024-05-02,500.7880
2024-05-01,500.5499
2024-04-30,500.3887
2024-04-29,500.1443
2024-04-26,499.7865
2024-04-25,499.4160
2024-04-24,499.1101
2024-04-23,498.7535
2024-04-22,498.3779
2024-04-19,498.0024
2024-04-18,497.6326
2024-04-17,497.2366
2024-04-16,496.8514
2024-04-15,496.4159
2024-04-12,495.9696
2024-04-11,495.3855
2024-04-10,494.7037
2024-04-09,493.9797
2024-04-08,493.1670
2024-04-05,492.3862
2024-04-04,491.6683
2024-04-03,491.0722
2024-04-02,490.4006
2024-04-01,489.7350
2024-03-28,489.0059
2024-03-27,488.2326
2024-03-26,487.4435
2024-03-25,486.6534
2024-03-22,485.9483
2024-03-21,485.1779
2024-03-20,484.3525
2024-03-19,483.5649
2024-03-18,482.8269
2024-03-15,482.0358
2024-03-14,481.2588
2024-03-13,480.4015
2024-03-12,479.4990
2024-03-11,478.5318
2024-03-08,477.6758
2024-03-07,476.8144
2024-03-06,475.9426
2024-03-05,475.1067
2024-03-04,474.2827
2024-03-01,473.3860
2024-02-29,472.4742
2024-02-28,471.6470
2024-02-27,470.8431
2024-02-26,470.0027
2024-02-23,469.1914
2024-02-22,468.2997
2024-02-21,467.4048
2024-02-20,466.6574
2024-02-16,465.9025
2024-02-15,464.9772
2024-02-14,464.0204
2024-02-13,463.0135
2024-02-12,462.1260
2024-02-09,461.1293
2024-02-08,460.1105
2024-02-07,459.1202
2024-02-06,458.0740
2024-02-05,456.9680
2024-02-02,455.8164
2024-02-01,454.5982
2024-01-31,453.3839
2024-01-30,452.2935
2024-01-29,451.1572
2024-01-26,450.1069
2024-01-25,449.0672
2024-01-24,448.0292
2024-01-23,447.1102
2024-01-22,446.2562
2024-01-19,445.5112
2024-01-18,444.7819
2024-01-17,444.0741
2024-01-16,443.4625
2024-01-12,442.8511
2024-01-11,442.1863
2024-01-10,441.4925
2024-01-09,440.7541
2024-01-08,439.9803
2024-01-05,439.1980
2024-01-04,438.4705
2024-01-03,437.8390
2024-01-02,437.1872
2023-12-29,436.4926
2023-12-28,435.7205
2023-12-27,434.9249
2023-12-26,434.2279
2023-12-22,433.5165
2023-12-21,432.8501
2023-12-20,432.3074
2023-12-19,431.8933
2023-12-18,431.3935
2023-12-15,430.9332
2023-12-14,430.5942
2023-12-13,430.1856
2023-12-12,429.7920
2023-12-11,429.5319
2023-12-08,429.2595
2023-12-07,429.0041
2023-12-06,428.7990
2023-12-05,428.6917
2023-12-04,428.5858
2023-12-01,428.4661
2023-11-30,428.3198
2023-11-29,428.1865
2023-11-28,427.9840
2023-11-27,427.7348
2023-11-24,427.4460
2023-11-22,427.2372
2023-11-21,426.9592
2023-11-20,426.7255
2023-11-17,426.4342
2023-11-16,426.1921
2023-11-15,426.0088
2023-11-14,425.8826
2023-11-13,425.8492
2023-11-10,425.9076
2023-11-09,425.9636
2023-11-08,426.1193
2023-11-07,426.2687
2023-11-06,426.4524
2023-11-03,426.5961
2023-11-02,426.7855
2023-11-01,427.0535
2023-10-31,427.5391
2023-10-30,428.1117
2023-10-27,428.7105
2023-10-26,429.3169
2023-10-25,429.9404
2023-10-24,430.4874
2023-10-23,430.9242
2023-10-20,431.3783
2023-10-19,431.8215
2023-10-18,432.2310
2023-10-17,432.5683
2023-10-16,432.7677
2023-10-13,432.9432
2023-10-12,433.1915
2023-10-11,433.3540
2023-10-10,433.4229
2023-10-09,433.4765
2023-10-06,433.5474
2023-10-05,433.6764
2023-10-04,433.9337
2023-10-03,434.1984
2023-10-02,434.5017
2023-09-29,434.6411
2023-09-28,434.7521
2023-09-27,434.8441
2023-09-26,434.9022
2023-09-25,434.9895
2023-09-22,435.0307
2023-09-21,435.0755
2023-09-20,435.1394
2023-09-19,435.1282
2023-09-18,435.0780
2023-09-15,434.9329
2023-09-14,434.7839
2023-09-13,434.5108
2023-09-12,434.2371
2023-09-11,433.9598
2023-09-08,433.6068
2023-09-07,433.3201
