Dates,SMA Values
2025-06-06,579.8331
2025-06-05,579.7903
2025-06-04,579.8041
2025-06-03,579.7933
2025-06-02,579.7631
2025-05-30,579.7245
2025-05-29,579.6079
2025-05-28,579.4377
2025-05-27,579.2928
2025-05-23,579.1064
2025-05-22,579.0868
2025-05-21,579.0511
2025-05-20,579.0105
2025-05-19,578.8858
2025-05-16,578.7482
2025-05-15,578.6064
2025-05-14,578.5292
2025-05-13,578.4746
2025-05-12,578.4322
2025-05-09,578.4014
2025-05-08,578.5035
2025-05-07,578.5826
2025-05-06,578.7218
2025-05-05,578.8441
2025-05-02,578.9083
2025-05-01,578.9565
2025-04-30,579.0357
2025-04-29,579.1048
2025-04-28,579.2123
2025-04-25,579.3080
2025-04-24,579.4125
2025-04-23,579.5436
2025-04-22,579.7916
2025-04-21,580.0818
2025-04-17,580.4733
2025-04-16,580.7593
2025-04-15,581.0596
2025-04-14,581.2629
2025-04-11,581.4454
2025-04-10,581.6719
2025-04-09,581.8974
2025-04-08,581.9630
2025-04-07,582.3995
2025-04-04,582.7736
2025-04-03,583.1206
2025-04-02,583.2102
2025-04-01,583.0612
2025-03-31,582.9207
2025-03-28,582.7487
2025-03-27,582.6688
2025-03-26,582.5169
2025-03-25,582.3621
2025-03-24,582.2403
2025-03-21,582.0907
2025-03-20,582.0129
2025-03-19,581.9594
2025-03-18,581.8888
2025-03-17,581.8713
2025-03-14,581.7682
2025-03-13,581.7272
2025-03-12,581.7537
2025-03-11,581.7336
2025-03-10,581.6970
2025-03-07,581.6184
2025-03-06,581.3647
2025-03-05,581.1217
2025-03-04,580.7430
2025-03-03,580.4064
2025-02-28,580.0040
2025-02-27,579.4427
2025-02-26,578.9711
2025-02-25,578.3981
2025-02-24,577.9372
2025-02-21,577.5266
2025-02-20,577.1517
2025-02-19,576.6402
2025-02-18,576.1300
2025-02-14,575.6278
2025-02-13,575.0957
2025-02-12,574.5834
2025-02-11,574.2052
2025-02-10,573.8193
2025-02-07,573.3966
2025-02-06,573.0289
2025-02-05,572.6520
2025-02-04,572.3461
2025-02-03,572.0340
2025-01-31,571.7396
2025-01-30,571.3914
2025-01-29,571.0546
2025-01-28,570.7019
2025-01-27,570.3261
2025-01-24,569.9824
2025-01-23,569.5550
2025-01-22,569.0975
2025-01-21,568.6377
2025-01-17,568.1941
2025-01-16,567.8046
2025-01-15,567.4514
2025-01-14,567.0852
2025-01-13,566.7796
2025-01-10,566.4923
2025-01-08,566.2165
2025-01-07,565.8872
2025-01-06,565.5542
2025-01-03,565.1428
2025-01-02,564.7533
2024-12-31,564.4082
2024-12-30,564.0217
2024-12-27,563.6110
2024-12-26,563.1402
2024-12-24,562.6289
2024-12-23,562.1180
2024-12-20,561.6098
2024-12-19,561.1227
2024-12-18,560.6824
2024-12-17,560.2072
2024-12-16,559.6288
2024-12-13,559.0588
2024-12-12,558.5045
2024-12-11,557.9249
2024-12-10,557.3503
2024-12-09,556.8195
2024-12-06,556.2663
2024-12-05,555.6865
2024-12-04,555.1096
2024-12-03,554.5332
2024-12-02,553.9378
2024-11-29,553.3274
2024-11-27,552.7243
2024-11-26,552.1428
2024-11-25,551.5274
2024-11-22,550.9338
2024-11-21,550.3505
2024-11-20,549.7430
2024-11-19,549.1138
2024-11-18,548.4531
2024-11-15,547.8191
2024-11-14,547.2592
2024-11-13,546.6326
2024-11-12,545.9451
2024-11-11,545.2732
2024-11-08,544.5899
2024-11-07,543.8687
2024-11-06,543.1337
2024-11-05,542.4618
2024-11-04,541.8990
2024-11-01,541.4062
2024-10-31,540.9111
2024-10-30,540.4781
2024-10-29,540.0149
2024-10-28,539.5119
2024-10-25,539.0522
2024-10-24,538.6009
2024-10-23,538.1462
2024-10-22,537.6626
2024-10-21,537.1858
2024-10-18,536.7029
2024-10-17,536.2365
2024-10-16,535.7925
2024-10-15,535.3495
2024-10-14,534.8936
2024-10-11,534.4123
2024-10-10,533.9748
2024-10-09,533.5688
2024-10-08,533.1434
2024-10-07,532.7126
2024-10-04,532.2998
2024-10-03,531.8289
2024-10-02,531.4194
2024-10-01,531.0097
2024-09-30,530.6073
2024-09-27,530.1299
2024-09-26,529.6717
2024-09-25,529.2294
2024-09-24,528.7676
2024-09-23,528.2787
2024-09-20,527.8375
2024-09-19,527.4101
2024-09-18,526.9423
2024-09-17,526.5294
2024-09-16,526.1095
2024-09-13,525.6845
2024-09-12,525.2786
2024-09-11,524.8908
2024-09-10,524.4637
2024-09-09,524.0733
2024-09-06,523.7190
2024-09-05,523.4252
2024-09-04,523.0417
2024-09-03,522.6171
2024-08-30,522.2331
2024-08-29,521.7686
2024-08-28,521.3215
2024-08-27,520.8732
2024-08-26,520.3729
2024-08-23,519.8679
2024-08-22,519.3662
2024-08-21,518.8700
2024-08-20,518.2983
2024-08-19,517.7965
2024-08-16,517.2909
2024-08-15,516.7957
2024-08-14,516.3136
2024-08-13,515.8789
2024-08-12,515.4526
2024-08-09,515.0784
2024-08-08,514.6990
2024-08-07,514.2944
2024-08-06,513.9452
2024-08-05,513.5898
2024-08-02,513.2804
2024-08-01,512.8589
2024-07-31,512.3674
2024-07-30,511.8018
2024-07-29,511.3036
2024-07-26,510.7389
2024-07-25,510.1720
2024-07-24,509.6584
2024-07-23,509.1519
2024-07-22,508.5754
2024-07-19,508.0024
2024-07-18,507.4682
2024-07-17,506.9019
2024-07-16,506.2914
2024-07-15,505.6181
2024-07-12,504.9371
2024-07-11,504.3133
2024-07-10,503.6942
2024-07-09,503.0222
2024-07-08,502.3946
2024-07-05,501.7602
2024-07-03,501.0856
2024-07-02,500.4187
2024-07-01,499.7565
2024-06-28,499.1066
2024-06-27,498.4403
2024-06-26,497.7716
2024-06-25,497.1097
2024-06-24,496.4694
2024-06-21,495.8250
2024-06-20,495.1556
2024-06-18,494.4833
2024-06-17,493.7973
2024-06-14,493.1268
2024-06-13,492.4848
2024-06-12,491.8330
2024-06-11,491.1957
2024-06-10,490.5653
2024-06-07,489.9400
2024-06-06,489.3225
2024-06-05,488.6938
2024-06-04,488.0052
2024-06-03,487.3638
2024-05-31,486.6792
2024-05-30,486.0215
2024-05-29,485.3951
2024-05-28,484.7355
2024-05-24,484.0426
2024-05-23,483.3249
2024-05-22,482.5750
2024-05-21,481.7665
2024-05-20,480.9290
2024-05-17,480.0662
2024-05-16,479.2209
2024-05-15,478.4159
2024-05-14,477.6458
2024-05-13,476.8993
2024-05-10,476.1747
2024-05-09,475.4873
2024-05-08,474.8310
2024-05-07,474.2365
2024-05-06,473.6425
2024-05-03,473.0207
2024-05-02,472.4513
2024-05-01,471.9447
2024-04-30,471.4586
2024-04-29,470.9452
2024-04-26,470.3556
2024-04-25,469.7434
2024-04-24,469.1660
2024-04-23,468.5535
2024-04-22,467.9794
2024-04-19,467.4483
2024-04-18,466.9567
2024-04-17,466.4170
2024-04-16,465.8688
2024-04-15,465.3441
2024-04-12,464.8003
2024-04-11,464.2180
2024-04-10,463.6362
2024-04-09,463.1102
2024-04-08,462.5539
2024-04-05,462.0001
2024-04-04,461.4860
2024-04-03,460.9829
2024-04-02,460.4314
2024-04-01,459.9012
2024-03-28,459.3270
2024-03-27,458.7418
2024-03-26,458.1654
2024-03-25,457.6409
2024-03-22,457.1232
2024-03-21,456.5894
2024-03-20,456.0533
2024-03-19,455.5164
2024-03-18,454.9685
2024-03-15,454.4212
2024-03-14,453.8739
2024-03-13,453.3445
2024-03-12,452.7740
2024-03-11,452.2060
2024-03-08,451.6569
2024-03-07,451.1033
2024-03-06,450.5513
2024-03-05,450.0575
2024-03-04,449.6183
2024-03-01,449.1259
2024-02-29,448.6314
2024-02-28,448.1693
2024-02-27,447.7410
2024-02-26,447.3217
2024-02-23,446.8817
2024-02-22,446.4429
2024-02-21,446.0154
2024-02-20,445.7047
2024-02-16,445.4063
2024-02-15,445.0824
2024-02-14,444.7101
2024-02-13,444.3830
2024-02-12,444.0870
2024-02-09,443.7339
2024-02-08,443.3651
2024-02-07,443.0165
2024-02-06,442.6906
2024-02-05,442.3866
2024-02-02,442.0692
2024-02-01,441.7284
2024-01-31,441.4256
2024-01-30,441.1427
2024-01-29,440.7785
2024-01-26,440.3922
2024-01-25,440.0252
2024-01-24,439.6617
2024-01-23,439.3409
2024-01-22,439.0284
2024-01-19,438.7223
2024-01-18,438.3873
2024-01-17,438.0821
2024-01-16,437.8048
2024-01-12,437.4760
2024-01-11,437.1473
2024-01-10,436.8438
2024-01-09,436.5280
2024-01-08,436.2466
2024-01-05,435.9761
2024-01-04,435.7630
2024-01-03,435.5167
2024-01-02,435.2561
2023-12-29,434.9486
2023-12-28,434.5952
2023-12-27,434.2268
2023-12-26,433.8417
2023-12-22,433.4729
2023-12-21,433.1117
2023-12-20,432.7630
2023-12-19,432.4030
2023-12-18,431.9691
2023-12-15,431.5717
2023-12-14,431.1917
2023-12-13,430.7689
2023-12-12,430.3320
2023-12-11,429.9607
2023-12-08,429.6369
2023-12-07,429.3244
2023-12-06,429.0300
2023-12-05,428.7321
2023-12-04,428.3866
2023-12-01,428.0597
2023-11-30,427.7061
2023-11-29,427.3751
2023-11-28,427.0617
2023-11-27,426.7327
2023-11-24,426.4194
2023-11-22,426.0996
2023-11-21,425.7297
2023-11-20,425.3920
2023-11-17,425.0671
2023-11-16,424.7989
2023-11-15,424.5376
2023-11-14,424.2556
2023-11-13,423.9243
2023-11-10,423.6648
2023-11-09,423.4479
2023-11-08,423.2754
2023-11-07,423.0768
2023-11-06,422.8961
2023-11-03,422.7247
2023-11-02,422.5583
2023-11-01,422.4092
2023-10-31,422.3238
2023-10-30,422.2320
2023-10-27,422.1701
2023-10-26,422.1418
2023-10-25,422.0974
2023-10-24,422.0070
2023-10-23,421.8815
2023-10-20,421.7940
2023-10-19,421.6905
2023-10-18,421.5109
2023-10-17,421.2883
2023-10-16,420.9852
2023-10-13,420.6881
2023-10-12,420.4176
2023-10-11,420.1141
2023-10-10,419.7845
2023-10-09,419.5147
2023-10-06,419.2248
2023-10-05,418.9280
2023-10-04,418.6984
2023-10-03,418.4205
2023-10-02,418.1810
2023-09-29,417.8573
2023-09-28,417.5362
2023-09-27,417.2470
2023-09-26,417.0261
2023-09-25,416.8019
2023-09-22,416.5761
2023-09-21,416.3610
2023-09-20,416.0950
2023-09-19,415.7570
2023-09-18,415.4009
2023-09-15,415.0486
2023-09-14,414.6888
2023-09-13,414.3209
2023-09-12,413.9652
2023-09-11,413.6169
2023-09-08,413.3080
2023-09-07,413.0267
2023-09-06,412.7895
2023-09-05,412.5334
2023-09-01,412.2576
2023-08-31,411.9350
2023-08-30,411.6117
2023-08-29,411.3085
2023-08-28,411.0495
2023-08-25,410.7982
2023-08-24,410.5837
2023-08-23,410.4215
2023-08-22,410.1749
2023-08-21,409.9325
2023-08-18,409.6410
2023-08-17,409.4046
2023-08-16,409.1632
2023-08-15,408.8679
2023-08-14,408.5490
2023-08-11,408.1966
2023-08-10,407.8284
2023-08-09,407.4083
2023-08-08,407.0091
2023-08-07,406.6324
2023-08-04,406.2471
2023-08-03,405.8783
2023-08-02,405.4854
2023-08-01,405.0493
2023-07-31,404.5501
2023-07-28,404.0432
2023-07-27,403.4822
2023-07-26,402.9823
2023-07-25,402.4411
2023-07-24,401.9115
2023-07-21,401.3976
2023-07-20,400.8507
2023-07-19,400.3368
2023-07-18,399.8121
2023-07-17,399.2794
2023-07-14,398.8082
2023-07-13,398.3085
2023-07-12,397.8033
2023-07-11,397.3452
2023-07-10,396.9436
2023-07-07,396.6288
2023-07-06,396.3395
2023-07-05,396.0216
2023-07-03,395.6405
2023-06-30,395.2751
2023-06-29,394.8921
2023-06-28,394.5497
2023-06-27,394.2591
2023-06-26,394.0204
2023-06-23,393.8180
2023-06-22,393.6054
2023-06-21,393.2838
2023-06-20,392.9780
2023-06-16,392.7007
2023-06-15,392.4081
2023-06-14,392.0878
2023-06-13,391.7685
2023-06-12,391.4628
2023-06-09,391.1646
2023-06-08,390.9018
2023-06-07,390.6654
2023-06-06,390.4236
2023-06-05,390.1950
2023-06-02,389.9465
2023-06-01,389.5505
2023-05-31,389.2512
2023-05-30,388.9654
2023-05-26,388.6386
2023-05-25,388.2761
2023-05-24,387.9775
2023-05-23,387.7701
2023-05-22,387.5536
2023-05-19,387.3238
2023-05-18,387.0328
2023-05-17,386.7517
2023-05-16,386.5183
2023-05-15,386.2779
2023-05-12,385.9867
2023-05-11,385.6442
2023-05-10,385.3192
2023-05-09,385.0074
2023-05-08,384.6791
2023-05-05,384.2750
2023-05-04,383.9291
2023-05-03,383.5705
2023-05-02,383.1999
2023-05-01,382.8254
2023-04-28,382.4376
2023-04-27,382.1186
2023-04-26,381.8509
2023-04-25,381.6452
2023-04-24,381.3492
2023-04-21,380.9427
2023-04-20,380.5779
2023-04-19,380.2687
2023-04-18,379.8944
2023-04-17,379.5261
2023-04-14,379.1847
2023-04-13,378.8969
2023-04-12,378.6239
2023-04-11,378.4347
2023-04-10,378.2647
2023-04-06,378.0749
2023-04-05,377.9083
2023-04-04,377.7835
2023-04-03,377.6409
