Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
9/26/2000,92.42110010665682,92.82119144910989,91.16081237792969,91.16081237792969,5302400,26,1,39,9,2000
9/27/2000,91.90100487,92.16106431282809,90.98079455062776,91.64094543457031,7186200,27,2,39,9,2000
9/28/2000,91.66091747283936,93.67137626943916,91.47087410400653,92.82118225097656,7036400,28,3,39,9,2000
9/29/2000,93.12125604395456,93.44132910447084,91.94098663330078,91.94098663330078,9333600,29,4,39,9,2000
10/2/2000,92.36111107262066,92.76120252,91.63094418,92.08104705810547,5517800,2,0,40,10,2000
10/3/2000,92.52112204568428,93.30130015590734,91.08079322681093,91.2208252,9347200,3,1,40,10,2000
10/4/2000,91.46088404445972,92.34108502826466,90.74071960316475,91.98100280761719,6148900,4,2,40,10,2000
10/5/2000,91.80092664502843,92.72113641309801,91.74091296450214,92.30104064941406,4566900,5,3,40,10,2000
10/6/2000,92.10098548520705,92.59109715861877,89.46038381621328,90.30057525634766,10014900,6,4,40,10,2000
10/9/2000,90.46062922477722,90.46062922477722,89.22034638268607,89.62043762207031,4508000,9,0,41,10,2000
10/10/2000,89.68048086872005,90.42064990555758,88.14012908935547,88.14012908935547,6104700,10,1,41,10,2000
10/11/2000,88.10012330526509,88.74026952,86.49975775930204,87.39996337890625,10346000,11,2,41,10,2000
10/12/2000,87.88003560276658,88.08008121078564,84.99937884729233,85.21942901611328,12336900,12,3,41,10,2000
10/13/2000,85.09943581234049,88.12012570600842,85.05942667,88.06011199951172,11778800,13,4,41,10,2000
10/16/2000,87.96004533,88.49016614005555,87.49994047622991,88.46015930175781,5659000,16,0,42,10,2000
10/17/2000,88.62020462474929,88.70022286820279,86.03961627337397,86.25966644,7831700,17,1,42,10,2000
10/18/2000,84.89938347388467,87.13989500759699,83.31902265992687,85.93962097167969,10897300,18,2,42,10,2000
10/19/2000,87.60000560207718,89.27038707450774,87.33994621115984,89.18036651611328,8767300,19,3,42,10,2000
10/20/2000,88.58019371279813,90.38060415411516,88.58019371279813,89.56041717529297,7373500,20,4,42,10,2000
10/23/2000,89.58046158308555,90.28062151059962,88.94031536364412,89.9605484,5290000,23,0,43,10,2000
10/24/2000,90.24056743470672,90.86070877597827,88.98028019,89.36036682128906,5750700,24,1,43,10,2000
10/25/2000,88.82027438,89.34039310838367,87.13989081507371,87.25991821289062,9137600,25,2,43,10,2000
10/26/2000,87.78003339937521,88.12011101281855,85.79958141520517,87.49996948242188,9345800,26,3,43,10,2000
10/27/2000,88.26015665671845,89.16036224365234,87.45997391277722,89.16036224365234,9762900,27,4,43,10,2000
