Dates,SMA Values
2025-06-06,580.2645
2025-06-05,580.0847
2025-06-04,579.8997
2025-06-03,579.7032
2025-06-02,579.4892
2025-05-30,579.3764
2025-05-29,579.2985
2025-05-28,579.2097
2025-05-27,579.1246
2025-05-23,579.0173
2025-05-22,578.9845
2025-05-21,578.9607
2025-05-20,578.9407
2025-05-19,578.8583
2025-05-16,578.7468
2025-05-15,578.6394
2025-05-14,578.5405
2025-05-13,578.4926
2025-05-12,578.4173
2025-05-09,578.3450
2025-05-08,578.4082
2025-05-07,578.4392
2025-05-06,578.4604
2025-05-05,578.5333
2025-05-02,578.5383
2025-05-01,578.5281
2025-04-30,578.5734
2025-04-29,578.6810
2025-04-28,578.7745
2025-04-25,578.8975
2025-04-24,579.0065
2025-04-23,579.1514
2025-04-22,579.3629
2025-04-21,579.6209
2025-04-17,579.9779
2025-04-16,580.1831
2025-04-15,580.4048
2025-04-14,580.5425
2025-04-11,580.6642
2025-04-10,580.8016
2025-04-09,580.9716
2025-04-08,580.9374
2025-04-07,581.2466
2025-04-04,581.4599
2025-04-03,581.7302
2025-04-02,581.7930
2025-04-01,581.6716
2025-03-31,581.6540
2025-03-28,581.6108
2025-03-27,581.5930
2025-03-26,581.5188
2025-03-25,581.4288
2025-03-24,581.3007
2025-03-21,581.1417
2025-03-20,581.0824
2025-03-19,581.0112
2025-03-18,580.9350
2025-03-17,580.8646
2025-03-14,580.7436
2025-03-13,580.5887
2025-03-12,580.5005
2025-03-11,580.3012
2025-03-10,580.1202
2025-03-07,579.8911
2025-03-06,579.4747
2025-03-05,579.1042
2025-03-04,578.6300
2025-03-03,578.3044
2025-02-28,578.0003
2025-02-27,577.6780
2025-02-26,577.3583
2025-02-25,576.9922
2025-02-24,576.6259
2025-02-21,576.1980
2025-02-20,575.7707
2025-02-19,575.3573
2025-02-18,574.9323
2025-02-14,574.4785
2025-02-13,574.0621
2025-02-12,573.6747
2025-02-11,573.3853
2025-02-10,573.0597
2025-02-07,572.7267
2025-02-06,572.3978
2025-02-05,572.0638
2025-02-04,571.7067
2025-02-03,571.3627
2025-01-31,571.0418
2025-01-30,570.6714
2025-01-29,570.2622
2025-01-28,569.8500
2025-01-27,569.4116
2025-01-24,569.0232
2025-01-23,568.5699
2025-01-22,568.0996
2025-01-21,567.6379
2025-01-17,567.2115
2025-01-16,566.8278
2025-01-15,566.4950
2025-01-14,566.1449
2025-01-13,565.8383
2025-01-10,565.5348
2025-01-08,565.2302
2025-01-07,564.8336
2025-01-06,564.4342
2025-01-03,563.9772
2025-01-02,563.5481
2024-12-31,563.1694
2024-12-30,562.7379
2024-12-27,562.2878
2024-12-26,561.7880
2024-12-24,561.2123
2024-12-23,560.6606
2024-12-20,560.1797
2024-12-19,559.7205
2024-12-18,559.2858
2024-12-17,558.8762
2024-12-16,558.3535
2024-12-13,557.8049
2024-12-12,557.2698
2024-12-11,556.7287
2024-12-10,556.1736
2024-12-09,555.6063
2024-12-06,555.0098
2024-12-05,554.3914
2024-12-04,553.7763
2024-12-03,553.1341
2024-12-02,552.5172
2024-11-29,551.8984
2024-11-27,551.2510
2024-11-26,550.5864
2024-11-25,549.8776
2024-11-22,549.2012
2024-11-21,548.5937
2024-11-20,547.9865
2024-11-19,547.3685
2024-11-18,546.7651
2024-11-15,546.1779
2024-11-14,545.5669
2024-11-13,544.8727
2024-11-12,544.1819
2024-11-11,543.5001
2024-11-08,542.8258
2024-11-07,542.1617
2024-11-06,541.5589
2024-11-05,541.0361
2024-11-04,540.5851
2024-11-01,540.2168
2024-10-31,539.8359
2024-10-30,539.4695
2024-10-29,538.9887
2024-10-28,538.5391
2024-10-25,538.0919
2024-10-24,537.6797
2024-10-23,537.2723
2024-10-22,536.8741
2024-10-21,536.4097
2024-10-18,535.9497
2024-10-17,535.4929
2024-10-16,535.0583
2024-10-15,534.6123
2024-10-14,534.1510
2024-10-11,533.6392
2024-10-10,533.1393
2024-10-09,532.6870
2024-10-08,532.2346
2024-10-07,531.8150
2024-10-04,531.3948
2024-10-03,530.9421
2024-10-02,530.5458
2024-10-01,530.1080
