Dates,SMA Values
2025-06-06,570.3846
2025-06-05,570.3944
2025-06-04,570.4288
2025-06-03,570.4769
2025-06-02,570.5609
2025-05-30,570.6467
2025-05-29,570.8034
2025-05-28,570.8919
2025-05-27,571.1086
2025-05-23,571.3059
2025-05-22,571.6061
2025-05-21,571.8196
2025-05-20,571.9717
2025-05-19,571.9366
2025-05-16,571.8914
2025-05-15,571.7295
2025-05-14,571.6023
2025-05-13,571.4983
2025-05-12,571.5087
2025-05-09,571.5543
2025-05-08,571.8983
2025-05-07,572.1937
2025-05-06,572.4495
2025-05-05,572.7498
2025-05-02,573.0197
2025-05-01,573.3311
2025-04-30,573.8142
2025-04-29,574.3432
2025-04-28,574.7971
2025-04-25,575.2504
2025-04-24,575.6241
2025-04-23,576.0464
2025-04-22,576.8119
2025-04-21,577.7026
2025-04-17,578.7206
2025-04-16,579.5925
2025-04-15,580.5098
2025-04-14,581.2320
2025-04-11,581.9585
2025-04-10,582.7825
2025-04-09,583.7032
2025-04-08,584.3527
2025-04-07,585.5718
2025-04-04,586.6947
2025-04-03,587.7944
2025-04-02,588.4810
2025-04-01,588.8615
2025-03-31,589.2473
2025-03-28,589.6281
2025-03-27,590.0313
2025-03-26,590.2630
2025-03-25,590.4747
2025-03-24,590.5804
2025-03-21,590.6742
2025-03-20,590.9758
2025-03-19,591.3244
2025-03-18,591.6504
2025-03-17,592.0698
2025-03-14,592.4106
2025-03-13,592.7722
2025-03-12,593.2139
2025-03-11,593.4006
2025-03-10,593.5414
2025-03-07,593.6419
2025-03-06,593.5344
2025-03-05,593.5975
2025-03-04,593.5597
2025-03-03,593.5837
2025-02-28,593.5057
2025-02-27,593.3080
2025-02-26,593.2027
2025-02-25,593.0484
2025-02-24,592.9013
2025-02-21,592.7305
2025-02-20,592.5016
2025-02-19,592.1496
2025-02-18,591.7382
2025-02-14,591.3968
2025-02-13,591.0210
2025-02-12,590.6045
2025-02-11,590.2745
2025-02-10,589.8753
2025-02-07,589.4186
2025-02-06,589.0704
2025-02-05,588.5967
2025-02-04,588.1599
2025-02-03,587.7488
2025-01-31,587.4449
2025-01-30,587.0667
2025-01-29,586.6604
2025-01-28,586.2656
2025-01-27,585.8537
2025-01-24,585.4832
2025-01-23,584.9953
2025-01-22,584.4979
2025-01-21,583.9277
2025-01-17,583.4167
2025-01-16,582.9672
2025-01-15,582.5777
2025-01-14,582.1407
2025-01-13,581.7736
2025-01-10,581.3503
2025-01-08,580.9097
2025-01-07,580.2931
2025-01-06,579.7944
2025-01-03,579.2323
2025-01-02,578.7235
2024-12-31,578.4355
2024-12-30,578.0686
2024-12-27,577.6759
2024-12-26,577.2416
2024-12-24,576.7241
